Season,TeamID,OverallSeed
2012,1246,1
2012,1393,2
2012,1314,3
2012,1277,4
2012,1242,5
2012,1181,6
2012,1326,7
2012,1281,8
2012,1124,9
2012,1266,10
2012,1199,11
2012,1207,12
2012,1276,13
2012,1458,14
2012,1231,15
2012,1257,16
2012,1396,17
2012,1435,18
2012,1455,19
2012,1307,20
2012,1424,21
2012,1153,22
2012,1293,23
2012,1361,24
2012,1323,25
2012,1388,26
2012,1211,27
2012,1196,28
2012,1166,29
2012,1235,30
2012,1272,31
2012,1243,32
2012,1104,33
2012,1163,34
2012,1379,35
2012,1387,36
2012,1345,37
2012,1452,38
2012,1438,39
2012,1462,40
2012,1161,41
2012,1301,42
2012,1400,43
2012,1160,44
2012,1143,45
2012,1217,46
2012,1378,47
2012,1140,48
2012,1433,49
2012,1233,50
2012,1253,51
2012,1325,52
2012,1172,53
2012,1308,54
2012,1285,55
2012,1355,56
2012,1125,57
2012,1382,58
2012,1259,59
2012,1250,60
2012,1178,61
2012,1313,62
2012,1254,63
2012,1421,64
2012,1249,65
2012,1436,66
2012,1290,67
2012,1443,68
2013,1257,1
2013,1242,2
2013,1231,3
2013,1211,4
2013,1274,5
2013,1181,6
2013,1207,7
2013,1326,8
2013,1307,9
2013,1196,10
2013,1277,11
2013,1266,12
2013,1276,13
2013,1243,14
2013,1387,15
2013,1393,16
2013,1329,17
2013,1424,18
2013,1458,19
2013,1433,20
2013,1112,21
2013,1139,22
2013,1272,23
2013,1417,24
2013,1166,25
2013,1361,26
2013,1323,27
2013,1228,28
2013,1314,29
2013,1161,30
2013,1338,31
2013,1301,32
2013,1281,33
2013,1396,34
2013,1455,35
2013,1160,36
2013,1153,37
2013,1437,38
2013,1235,39
2013,1328,40
2013,1278,41
2013,1143,42
2013,1332,43
2013,1125,44
2013,1129,45
2013,1388,46
2013,1279,47
2013,1137,48
2013,1247,49
2013,1292,50
2013,1103,51
2013,1308,52
2013,1355,53
2013,1285,54
2013,1172,55
2013,1434,56
2013,1322,57
2013,1217,58
2013,1195,59
2013,1334,60
2013,1233,61
2013,1107,62
2013,1443,63
2013,1380,64
2013,1254,65
2013,1241,66
2013,1299,67
2013,1251,68
2014,1196,1
2014,1112,2
2014,1455,3
2014,1438,4
2014,1437,5
2014,1276,6
2014,1242,7
2014,1458,8
2014,1181,9
2014,1393,10
2014,1166,11
2014,1235,12
2014,1257,13
2014,1277,14
2014,1417,15
2014,1361,16
2014,1153,17
2014,1387,18
2014,1433,19
2014,1328,20
2014,1314,21
2014,1326,22
2014,1269,23
2014,1124,24
2014,1400,25
2014,1163,26
2014,1332,27
2014,1307,28
2014,1246,29
2014,1211,30
2014,1272,31
2014,1160,32
2014,1243,33
2014,1203,34
2014,1329,35
2014,1338,36
2014,1390,37
2014,1386,38
2014,1140,39
2014,1113,40
2014,1173,41
2014,1304,42
2014,1344,43
2014,1397,44
2014,1234,45
2014,1462,46
2014,1301,47
2014,1295,48
2014,1217,49
2014,1372,50
2014,1264,51
2014,1409,52
2014,1308,53
2014,1174,54
2014,1444,55
2014,1273,56
2014,1418,57
2014,1300,58
2014,1184,59
2014,1454,60
2014,1459,61
2014,1110,62
2014,1157,63
2014,1451,64
2014,1291,65
2014,1107,66
2014,1411,67
2014,1142,68
2015,1246,1
2015,1437,2
2015,1181,3
2015,1458,4
2015,1438,5
2015,1112,6
2015,1211,7
2015,1242,8
2015,1235,9
2015,1124,10
2015,1328,11
2015,1323,12
2015,1314,13
2015,1268,14
2015,1257,15
2015,1207,16
2015,1428,17
2015,1116,18
2015,1452,19
2015,1320,20
2015,1374,21
2015,1344,22
2015,1139,23
2015,1462,24
2015,1277,25
2015,1455,26
2015,1234,27
2015,1433,28
2015,1153,29
2015,1332,30
2015,1301,31
2015,1361,32
2015,1385,33
2015,1329,34
2015,1261,35
2015,1345,36
2015,1231,37
2015,1172,38
2015,1326,39
2015,1208,40
2015,1400,41
2015,1417,42
2015,1279,43
2015,1140,44
2015,1129,45
2015,1173,46
2015,1461,47
2015,1138,48
2015,1459,49
2015,1372,50
2015,1434,51
2015,1217,52
2015,1186,53
2015,1414,54
2015,1209,55
2015,1318,56
2015,1412,57
2015,1107,58
2015,1308,59
2015,1125,60
2015,1411,61
2015,1295,62
2015,1248,63
2015,1157,64
2015,1316,65
2015,1352,66
2015,1264,67
2015,1214,68
2016,1242,1
2016,1314,2
2016,1438,3
2016,1332,4
2016,1277,5
2016,1328,6
2016,1437,7
2016,1462,8
2016,1452,9
2016,1274,10
2016,1428,11
2016,1401,12
2016,1181,13
2016,1143,14
2016,1246,15
2016,1235,16
2016,1231,17
2016,1345,18
2016,1268,19
2016,1124,20
2016,1400,21
2016,1323,22
2016,1112,23
2016,1371,24
2016,1458,25
2016,1173,26
2016,1234,27
2016,1333,28
2016,1403,29
2016,1160,30
2016,1425,31
2016,1386,32
2016,1344,33
2016,1139,34
2016,1153,35
2016,1163,36
2016,1338,37
2016,1396,38
2016,1393,39
2016,1433,40
2016,1435,41
2016,1276,42
2016,1455,43
2016,1211,44
2016,1409,45
2016,1320,46
2016,1151,47
2016,1114,48
2016,1463,49
2016,1355,50
2016,1423,51
2016,1218,52
2016,1392,53
2016,1233,54
2016,1453,55
2016,1138,56
2016,1201,57
2016,1372,58
2016,1292,59
2016,1167,60
2016,1421,61
2016,1451,62
2016,1122,63
2016,1214,64
2016,1195,65
2016,1192,66
2016,1380,67
2016,1221,68
2017,1437,1
2017,1242,2
2017,1314,3
2017,1211,4
2017,1246,5
2017,1112,6
2017,1181,7
2017,1257,8
2017,1332,9
2017,1199,10
2017,1417,11
2017,1124,12
2017,1139,13
2017,1196,14
2017,1452,15
2017,1345,16
2017,1438,17
2017,1278,18
2017,1323,19
2017,1235,20
2017,1374,21
2017,1153,22
2017,1268,23
2017,1166,24
2017,1388,25
2017,1376,26
2017,1276,27
2017,1173,28
2017,1458,29
2017,1274,30
2017,1116,31
2017,1321,32
2017,1435,33
2017,1371,34
2017,1277,35
2017,1439,36
2017,1329,37
2017,1455,38
2017,1266,39
2017,1433,40
2017,1462,41
2017,1344,42
2017,1448,43
2017,1348,44
2017,1425,45
2017,1243,46
2017,1305,47
2017,1292,48
2017,1423,49
2017,1343,50
2017,1137,51
2017,1190,52
2017,1436,53
2017,1457,54
2017,1308,55
2017,1195,56
2017,1245,57
2017,1233,58
2017,1297,59
2017,1407,60
2017,1240,61
2017,1315,62
2017,1411,63
2017,1355,64
2017,1413,65
2017,1300,66
2017,1309,67
2017,1291,68
2018,1438,1
2018,1437,2
2018,1242,3
2018,1462,4
2018,1314,5
2018,1181,6
2018,1345,7
2018,1153,8
2018,1277,9
2018,1397,10
2018,1276,11
2018,1403,12
2018,1120,13
2018,1455,14
2018,1211,15
2018,1112,16
2018,1246,17
2018,1452,18
2018,1155,19
2018,1326,20
2018,1196,21
2018,1274,22
2018,1222,23
2018,1395,24
2018,1401,25
2018,1116,26
2018,1305,27
2018,1348,28
2018,1371,29
2018,1166,30
2018,1439,31
2018,1281,32
2018,1139,33
2018,1243,34
2018,1344,35
2018,1104,36
2018,1301,37
2018,1199,38
2018,1400,39
2018,1328,40
2018,1417,41
2018,1382,42
2018,1113,43
2018,1393,44
2018,1361,45
2018,1260,46
2018,1308,47
2018,1172,48
2018,1355,49
2018,1293,50
2018,1138,51
2018,1422,52
2018,1158,53
2018,1267,54
2018,1137,55
2018,1285,56
2018,1460,57
2018,1372,58
2018,1252,59
2018,1209,60
2018,1168,61
2018,1233,62
2018,1420,63
2018,1335,64
2018,1347,65
2018,1254,66
2018,1300,67
2018,1411,68
2019,1181,1
2019,1438,2
2019,1314,3
2019,1211,4
2019,1397,5
2019,1277,6
2019,1246,7
2019,1276,8
2019,1222,9
2019,1403,10
2019,1261,11
2019,1345,12
2019,1242,13
2019,1199,14
2019,1243,15
2019,1439,16
2019,1266,17
2019,1120,18
2019,1458,19
2019,1280,20
2019,1437,21
2019,1268,22
2019,1138,23
2019,1235,24
2019,1257,25
2019,1305,26
2019,1153,27
2019,1459,28
2019,1433,29
2019,1393,30
2019,1279,31
2019,1429,32
2019,1449,33
2019,1416,34
2019,1124,35
2019,1328,36
2019,1234,37
2019,1371,38
2019,1278,39
2019,1196,40
2019,1326,41
2019,1125,42
2019,1396,43
2019,1388,44
2019,1113,45
2019,1293,46
2019,1385,47
2019,1332,48
2019,1308,49
2019,1251,50
2019,1414,51
2019,1436,52
2019,1387,53
2019,1318,54
2019,1463,55
2019,1330,56
2019,1209,57
2019,1297,58
2019,1285,59
2019,1159,60
2019,1133,61
2019,1101,62
2019,1205,63
2019,1233,64
2019,1341,65
2019,1192,66
2019,1295,67
2019,1300,68
